Date,Confirmed,,,,,,,,,,,,,,,,,,2/15/2020,2/16/2020,2/17/2020
1/30/2020,1,,,,,,,,,,,,,,,,,,3,3,3
1/31/2020,1,,,,,,,,,,,,,,,,,,,,
2/1/2020,2,,,,,,,,,,,,,,,,,,,,
2/2/2020,3,,,,,,,,,,,,,,,,,,,,
2/3/2020,3,,,,,,,,,,,,,,,,,,,,
2/4/2020,3,,,,,,,,,,,,,,,,,,,,
2/5/2020,3,,,,,,,,,,,,,,,,,,,,
2/6/2020,3,,,,,,,,,,,,,,,,,,,,
2/7/2020,3,,,,,,,,,,,,,,,,,,,,
2/8/2020,3,,,,,,,,,,,,,,,,,,,,
2/9/2020,3,,,,,,,,,,,,,,,,,,,,
2/10/2020,3,,,,,,,,,,,,,,,,,,,,
2/11/2020,3,,,,,,,,,,,,,,,,,,,,
2/12/2020,3,,,,,,,,,,,,,,,,,,,,
2/13/2020,3,,,,,,,,,,,,,,,,,,,,
2/14/2020,3,,,,,,,,,,,,,,,,,,,,
2/15/2020,3,,,,,,,,,,,,,,,,,,,,
2/16/2020,3,,,,,,,,,,,,,,,,,,,,
2/17/2020,3,,,,,,,,,,,,,,,,,,,,
2/18/2020,3,,,,,,,,,,,,,,,,,,,,
2/19/2020,3,,,,,,,,,,,,,,,,,,,,
2/20/2020,3,,,,,,,,,,,,,,,,,,,,
2/21/2020,3,,,,,,,,,,,,,,,,,,,,
2/22/2020,3,,,,,,,,,,,,,,,,,,,,
2/23/2020,3,,,,,,,,,,,,,,,,,,,,
2/24/2020,3,,,,,,,,,,,,,,,,,,,,
2/25/2020,3,,,,,,,,,,,,,,,,,,,,
2/26/2020,3,,,,,,,,,,,,,,,,,,,,
2/27/2020,3,,,,,,,,,,,,,,,,,,,,
2/28/2020,3,,,,,,,,,,,,,,,,,,,,
2/29/2020,3,,,,,,,,,,,,,,,,,,,,
3/1/2020,3,,,,,,,,,,,,,,,,,,,,
3/2/2020,1,,,,,,,,,,,,,,,,,,,,
3/2/2020,3,,,,,,,,,,,,,,,,,,,,
3/2/2020,1,,,,,,,,,,,,,,,,,,,,
3/3/2020,1,,,,,,,,,,,,,,,,,,,,
3/3/2020,1,,,,,,,,,,,,,,,,,,,,
3/3/2020,3,,,,,,,,,,,,,,,,,,,,
3/3/2020,1,,,,,,,,,,,,,,,,,,,,
3/4/2020,6,,,,,,,,,,,,,,,,,,,,
3/4/2020,3,,,,,,,,,,,,,,,,,,,,
3/4/2020,2,,,,,,,,,,,,,,,,,,,,
3/4/2020,1,,,,,,,,,,,,,,,,,,,,
3/4/2020,1,,,,,,,,,,,,,,,,,,,,
3/4/2020,15,,,,,,,,,,,,,,,,,,,,
3/5/2020,2,,,,,,,,,,,,,,,,,,,,
3/5/2020,2,,,,,,,,,,,,,,,,,,,,
3/5/2020,3,,,,,,,,,,,,,,,,,,,,
3/5/2020,15,,,,,,,,,,,,,,,,,,,,
3/5/2020,1,,,,,,,,,,,,,,,,,,,,
3/5/2020,7,,,,,,,,,,,,,,,,,,,,
3/6/2020,3,,,,,,,,,,,,,,,,,,,,
3/6/2020,2,,,,,,,,,,,,,,,,,,,,
3/6/2020,3,,,,,,,,,,,,,,,,,,,,
3/6/2020,15,,,,,,,,,,,,,,,,,,,,
3/6/2020,7,,,,,,,,,,,,,,,,,,,,
3/6/2020,1,,,,,,,,,,,,,,,,,,,,
3/7/2020,3,,,,,,,,,,,,,,,,,,,,
3/7/2020,7,,,,,,,,,,,,,,,,,,,,
3/7/2020,2,,,,,,,,,,,,,,,,,,,,
